Category,,Communications,Communications,Communications,Communications,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Economy,Geography,Military,People and Society,People and Society,People and Society,People and Society,People and Society,People and Society,People and Society,People and Society,People and Society,Transportation,Transportation
Field,,Internet users (humans),Telephones - mobile cellular (connections),Telephones - main lines in use (connections),Internet hosts (connections),Exports (dollars),Debt - external (dollars),Labor force (humans),Inflation rate (consumer prices) (%),Public debt (%),Current account balance (dollars),Reserves of foreign exchange and gold (dollars),Industrial production growth rate (%),Imports (dollars),GDP - per capita (PPP) (dollars),GDP (purchasing power parity) (dollars),GDP - real growth rate (%),Unemployment rate (%),Area (kms*kms),Military expenditures (%),HIV/AIDS - deaths (humans),HIV/AIDS - people living with HIV/AIDS (humans),HIV/AIDS - adult prevalence rate (%),Infant mortality rate (%),Population (humans),Birth rate (%),Death rate (%),Life expectancy at birth (years),Total fertility rate (children born/woman),Roadways (kms),Railways (kms)
Country,Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Africa,0.0021936277410933044,0.00617359180322312,0.0023902215994547026,3.183782579722879e-06,0.00653633308995595,-0.0003227522289365476,0.0036340497663095235,-0.006873723782416646,-0.003574333418271895,0.01340836697850914,0.0174754629458834,0.0141674403643764,-0.0034372373825232974,0.008726763937943836,0.0037042983107531914,0.012403142833082687,-0.013602305838346852,0.02195645461639672,-0.02079271020992058,-0.0004527676784693854,-0.0005348796583797745,0.0,-0.012319147631449362,-0.005738856222918578,0.011644404049840594,-0.004033023416491534,0.015260536166303742,0.00870869673726842,0.003694230975970313,0.0035984342102640047
Botswana,Africa,2.1845267691392505e-05,0.00037828322120185207,0.00011042088826176372,1.1313090612964975e-05,0.00045878670529666486,-2.717280616530944e-05,0.00027778534959408785,-0.010047008692126182,-0.002365175279937778,0.013049463556579126,0.00122240950223609,0.013767677138218741,-0.00034583975756491506,0.016249769645045924,0.0003175665797355075,0.013463829226385256,-0.015550482635925062,0.005368567030379752,-0.01892057073586385,-0.010350252029572854,-0.012173537299571489,-0.17768013756662768,-0.012113775062554137,-0.00019406733501482163,0.01537871182734486,-0.03114295091612165,0.004026145422391065,0.013424439170409202,0.0006521062785484019,0.0008000551987529244
Cameroon,Africa,0.0002813245505867187,0.001448698886305958,0.0002787479205855044,4.561991893541634e-06,0.0003969590294545865,-0.0001496230555839608,0.00262264896881074,-0.003570715330775534,-0.0067822463484253775,0.013020239384602299,0.000340420994547538,0.012191521606182365,-0.00032861908550027054,0.0021664939024251756,0.0005905454089859693,0.011944834745574541,-0.03050492173506327,0.004305847035515568,-0.006627787472717673,-0.025455217490626583,-0.02113102828222642,-0.034734963086573895,-0.030538045489006457,-0.003068002141503272,0.02759208443408862,-0.022586619474377,0.0052954307135138125,0.030313195055786037,0.0017902177316331022,0.0009558226844053655
"Congo, Republic of the",Africa,4.383368698807622e-05,0.0004204355823653182,0.0,6.455149399757733e-08,0.0006813057936325234,-0.00013517569839565765,0.0003123811910448622,-0.005052720891539462,-0.007839969716428162,0.01304330705680534,0.00035580514959732563,0.012228995783858955,-0.00014785247348007445,0.002922951853812117,0.00012531675662963573,0.014752905783806475,-0.054353874548085164,0.00307031411701566,-0.01037265497295639,-0.004293724946786085,-0.003041597716945846,-0.023369668220803476,-0.038821898219310015,-0.0005435774860749998,0.03361150625813042,-0.021766664159824565,0.0056837984125539635,0.04148756771446364,0.0004412685667044596,0.0007865632448300291
Cote d'Ivoire,Africa,0.0003320173555845819,0.0022808637855510866,0.00026277866435324264,1.4635813719803078e-05,0.0009635654400188609,-0.00033808376877352865,0.002402511625913902,-0.003272741737384684,-0.017906666481429974,0.01303442844306389,0.0004086942110367061,0.016793525943492916,-0.0005675163130568159,0.0013717253396665185,0.0004568708305972158,0.011878224241096037,-0.012877434873264459,0.0028894066375621794,-0.0075207665958243715,-0.024428306342469393,-0.018692688760922973,-0.028955035061323988,-0.03583433632745769,-0.00324886691802635,0.02592643773112818,-0.021111605766220502,0.0056603073157613796,0.028074307085097727,0.00249910750449378,0.0005932382085991073
Egypt,Africa,0.00842677346301021,0.011021492992019356,0.00834233138924767,0.00019947636975454886,0.0023530040815581115,-0.000997623479912492,0.00856087890678557,-0.010880925616690164,-0.026275305221790793,0.01297803015417513,0.003963445022955399,0.012154406567060407,-0.004413004626403852,0.006176913478440133,0.006403213841970777,0.012688029664625877,-0.010218062311882154,0.00917622076498302,-0.018213996243690297,-0.00029261585315012637,-0.00038580456762793734,0.0,-0.012554689555341947,-0.013625997482017956,0.0162209894552255,-0.005116619108425702,0.01423536808685748,0.01589506761240913,0.0028458157063474127,0.004629550324811015
Gabon,Africa,1.4731971839543919e-05,0.000283041108660056,1.2304786260625322e-05,4.496156966312841e-07,0.0007588986583899094,-9.649838471164698e-05,0.00025264593699531436,-0.0023289612238734593,-0.007772018856845236,0.013079904265949948,0.00018725158297479993,0.011298589624270848,-0.00012391477170757713,0.014726404359331629,0.00022241441143380599,0.012903105379694597,-0.021172722808228604,0.0023820582085110607,-0.011281733633253603,-0.001547249013262362,-0.0017221570946000337,-0.03792893696714887,-0.02495604460621218,-0.00012807565730258124,0.029215434299944665,-0.02347485253862597,0.005138435911688804,0.033096861481227785,0.00035014104930104723,0.0006795270840815238
Ghana,Africa,0.0005316423506293472,0.002657035131671384,0.00023503452729957373,4.440049014203281e-05,0.0006391403124147784,-0.00021949611328654056,0.0038978140361567003,-0.01600284898488905,-0.015362214768545152,0.012974638111436843,0.0004562931916016149,0.01313093188228545,-0.0008948641846608061,0.0024354315536746804,0.0008102206749787109,0.015232308546834465,-0.01379509223929906,0.002116211383572687,-0.00466639823516567,-0.013604985514603362,-0.010922421947724064,-0.01324897759959835,-0.023381525402814143,-0.003857708785498622,0.02274563005505971,-0.014364999143313038,0.00883265509571052,0.02507984418720758,0.0020774447428212116,0.000856083622998179
